Name,Zone,Level,Classification,Type,Movement,Notes/Abilities,Commands
Dalaran Shield Guard,Alterac Mountains,31-32,Normal,Humanoid,Idle,"Glowing ""Violent Shield Effect"" is Retaliation",".pin Alterac Mountains,20.59,87.46;.pin Alterac Mountains,21.22,83.78;.pin Alterac Mountains,18.31,83.01;.mob Dalaran Shield Guard"
Warden Belamoore,Alterac Mountains,36,Normal,Humanoid,Idle,"High level for area, cone of cold, sheeps if multiple mobs",".pin Alterac Mountains,17.73,82.97;.mob Warden Belamoore"
Frostmaw,Alterac Mountains,37,Normal,Humanoid,Idle,High level for area,".pin Alterac Mountains,36.9,66.3;.mob Frostmaw"
Lord Aliden Perenolde,Alterac Mountains,41,Normal,Humanoid,Idle,"High level for the area, has renew/PW:S, social aggro and house is bugged",".pin Alterac Mountains,40.1,15.2;.mob Lord Aliden Perenolde"
Syndicate Assassin,Alterac Mountains,38-39,Normal,Humanoid,Idle,"Stealthed mobs around the house of Lord Aliden Perenolde, easily ass-pulled",".pin Alterac Mountains,38.50,21.80;.pin Alterac Mountains,40.77,19.50;.pin Alterac Mountains,41.17,15.45;.pin Alterac Mountains,39.55,12.48;.pin Alterac Mountains,36.88,12.91;.pin Alterac Mountains,37.45,16.39;.pin Alterac Mountains,39.17,14.94;.mob Syndicate Assassin"
Syndicate Enforcer,Alterac Mountains,39-40,Normal,Humanoid,Idle,"Easily double pulled, they have a strong whirlwind ability",".pin Alterac Mountains,38.50,21.80;.pin Alterac Mountains,40.77,19.50;.pin Alterac Mountains,41.17,15.45;.pin Alterac Mountains,39.55,12.48;.pin Alterac Mountains,36.88,12.91;.pin Alterac Mountains,37.45,16.39;.pin Alterac Mountains,39.17,14.94;.mob Syndicate Enforcer"
Lieutenant Valorcall,Arathi Highlands,38,Elite,Humanoid,Slow Patrol,"Has 2 adds, bubbles/heals",
Stormgarde Cavalryman,Arathi Highlands,36-37,Elite,Humanoid,Slow Patrol,"Stunning charge, high damage",
Nimar the Slayer,Arathi Highlands,37,Rare,Humanoid,Idle,"High level for area, has execute",".pin Arathi Highlands,73.51,65.03;.pin Arathi Highlands,70.53,69.56;.pin Arathi Highlands,64.73,73.47;.pin Arathi Highlands,61.17,72.58;.pin Arathi Highlands,63.28,67.56;.pin Arathi Highlands,66.31,64.25;.mob Nimar the Slayer"
Marez Cowl,Arathi Highlands,40,Elite,Humanoid,Idle,Basic elite in area with stealth patrols,".pin Arathi Highlands,29.73,62.96;.pin Arathi Highlands,29.69,61.40;.pin Arathi Highlands,29.71,64.65;.mob Marez Cowl"
Boulderfist Ogre,Arathi Highlands,32-33,Normal,Humanoid,Idle,"Has Fist of Stone ability, 100 dmg bonus per attack but 54% reduced attack speed/movement speed",".pin Arathi Highlands,53.54,76.79;.mob Bouldfist Ogre"
Highland Thrasher,Arathi Highlands,33-34,Normal,Beast,Idle,Thrash mob,".pin Arathi Highlands,62.6,65.8;.pin Arathi Highlands,54.6,58.2;.pin Arathi Highlands,36.4,64.0;.pin Arathi Highlands,40.6,35.2;.pin Arathi Highlands,21.2,50.6;.mob Highland Thrasher"
Boulderfist Enforcer,Arathi Highlands,33-34,Normal,Humanoid,Idle,"Has Fist of Stone ability, 100 dmg bonus per attack but 54% reduced attack speed/movement speed",".pin Arathi Highlands,53.54,76.79;.mob Boulderfist Enforcer"
Witherbark Headhunter,Arathi Highlands,34-35,Normal,Humanoid,Idle,Execute mobs and cast nets,".pin Arathi Highlands,73.51,65.03;.pin Arathi Highlands,70.53,69.56;.pin Arathi Highlands,64.73,73.47;.pin Arathi Highlands,61.17,72.58;.pin Arathi Highlands,63.28,67.56;.pin Arathi Highlands,66.31,64.25;.mob Witherbark Headhunter"
Thundering Exile,Arathi Highlands,38-39,Normal,Elemental,Idle,"High damage shock ability, sometimes double pull",".pin Arathi Highlands,52.02,50.69;.mob Thundering Exile"
Vorsha the Lasher,Ashenvale,22,Normal,Beast,Idle,"High HP/DPS, potential adds",".pin Ashenvale,9.4,27.6;.mob Vorsha the Lasher"
Keeper Ordanus,Ashenvale,29,Normal,Humanoid,Idle,"2 guards, entangles, summons many treants",".pin Ashenvale,62.0,51.2;.mob Keeper Ordanus"
Sharptalon,Ashenvale,31,Normal,Beast,Slow Patrol,High level for the area,".line Ashenvale,71.48,70.11,72.16,70.52,72.48,70.60,72.67,70.67,73.23,70.67,74.43,70.07,74.80,70.06,75.44,69.90,75.69,69.81,75.96,69.78,76.10,68.96,76.44,68.58,76.91,68.04,77.59,66.37,77.92,65.94,78.29,65.71;.mob Sharptalon"
Thundering Invader,Azshara,55-57,Normal,Elemental,Idle,Invasion mobs,".pin Azshara,72.8,22;.pin Azshara,73.0,16.8;.pin Azshara,74.18,21.2;.pin Azshara,78.0,26.2;.pin Azshara,81.6,22.4;.pin Azshara,82.6,17.8;.pin Azshara,77.0,15.8;.mob Thundering Invader"
Monnos the Elder,Azshara,53,Rare Elite,Elemental,Slow Patrol,Has a huge knockback and a high-damage 5 sec aoe stun,".line Azshara,76.20,20.69,76.27,21.13,76.11,23.40,75.67,24.39,74.56,24.91,74.23,25.09,73.82,24.61,73.71,23.88,72.97,23.43,72.26,23.47,71.76,23.33,71.28,22.53,71.06,21.45,71.23,19.97,71.55,19.65,72.04,19.91,72.59,20.94,73.14,21.41,73.52,21.32,74.04,20.21,74.60,19.72,75.22,19.69,75.69,18.53,76.36,18.01,77.01,17.16,78.01,17.28,79.03,18.19,79.31,18.45,80.57,18.52,81.01,18.70,81.55,18.50,81.98,17.89;.mob Monnos the Elder"
Avalanchion,Azshara,58,Elite,Elemental,Slow Patrol,Aoe stun + several adds that stun and interrupt,".line Azshara,82.17,20.69,81.93,22.12,81.54,23.16,80.97,23.85,79.12,24.49,77.70,25.02,77.21,25.04,76.65,24.33,76.22,23.15,74.96,22.07,72.94,20.81,72.65,20.18,72.56,19.07,73.01,18.11,75.30,16.67,77.46,16.69,79.24,18.26,81.74,18.58,82.07,19.26,82.17,20.69;.mob Avalanchion"
Blood Elf Surveyor,Azshara,51-52,Normal,Humanoid,Idle,Large aggro radius,".pin Azshara,55.2,26.4;.pin Azshara,56.2,29.8;.pin Azshara,58.2,30.8;.pin Azshara,59.2,29.6;.pin Azshara,56.6,28.8;.pin Azshara,57.8,26.4;.mob Blood Elf Surveyor"
Blood Elf Reclaimer,Azshara,52-53,Normal,Humanoid,Idle,Large aggro radius,".pin Azshara,55.2,26.4;.pin Azshara,56.2,29.8;.pin Azshara,58.2,30.8;.pin Azshara,59.2,29.6;.pin Azshara,56.6,28.8;.pin Azshara,57.8,26.4;.mob Blood Elf Reclaimer"
Cliff Walker,Azshara,52-53,Elite,Giant,Idle,"Basic elite, nothing special",".pin Azshara,57.2,79.0;.pin Azshara,52.6,81.4;.pin Azshara,49.8,77.6;.pin Azshara,46.2,83.4;.pin Azshara,45.8,75.0;.pin Azshara,70.8,23.6;.pin Azshara,70.4,12.8;.pin Azshara,77.2,18.8;.mob Cliff Walker"
Cliff Thunderer,Azshara,53-54,Elite,Giant,Idle,"Basic elite, nothing special",".pin Azshara,57.2,79.0;.pin Azshara,52.6,81.4;.pin Azshara,49.8,77.6;.pin Azshara,46.2,83.4;.pin Azshara,45.8,75.0;.pin Azshara,70.8,23.6;.pin Azshara,70.4,12.8;.pin Azshara,77.2,18.8;.mob Cliff Thunderer"
Servant of Arkkoroc,Azshara,53-54,Elite,Giant,Idle,"Basic elite, nothing special",".pin Azshara,70.4,35.8;.pin Azshara,62.6,37.4;.pin Azshara,56.2,42.0;.pin Azshara,53.0,50.2;.pin Azshara,54.0,60.4;.pin Azshara,59.4,68.2;.pin Azshara,65.2,70.6;.pin Azshara,72.2,71.8;.pin Azshara,77.8,70.4;.pin Azshara,77.6,59.8;.pin Azshara,76.0,48.4;.pin Azshara,66.4,46.8;.pin Azshara,61.6,56.2;.pin Azshara,67.4,61.6;.pin Azshara,69.4,53.8;.mob Servant of Arkkoroc"
Cliff Breaker,Azshara,53-54,Elite,Giant,Idle,Instant-casts Cripple,".pin Azshara,57.2,79.0;.pin Azshara,52.6,81.4;.pin Azshara,49.8,77.6;.pin Azshara,46.2,83.4;.pin Azshara,45.8,75.0;.pin Azshara,70.8,23.6;.pin Azshara,70.4,12.8;.pin Azshara,77.2,18.8;.mob Cliff Breaker"
Son of Arkkoroc,Azshara,54-44,Elite,Giant,Idle,"Basic elite, nothing special",".pin Azshara,70.4,35.8;.pin Azshara,62.6,37.4;.pin Azshara,56.2,42.0;.pin Azshara,53.0,50.2;.pin Azshara,54.0,60.4;.pin Azshara,59.4,68.2;.pin Azshara,65.2,70.6;.pin Azshara,72.2,71.8;.pin Azshara,77.8,70.4;.pin Azshara,77.6,59.8;.pin Azshara,76.0,48.4;.pin Azshara,66.4,46.8;.pin Azshara,61.6,56.2;.pin Azshara,67.4,61.6;.pin Azshara,69.4,53.8;.mob Son of Arkkoroc"
Siege Golem,Badlands,40,Rare Elite,Elemental,Slow Patrol,"Basic elite, nothing special",".line Badlands,41.68,39.71,40.13,40.09,38.96,40.24,37.78,41.88,36.55,42.56,35.95,43.69,34.97,44.76,34.27,46.35,33.49,47.82,33.21,49.64,32.64,51.13,32.20,52.67,31.78,55.21,31.31,56.80,30.62,57.90,29.48,58.40,27.88,58.13,23.79,57.55,21.26,58.27,20.23,57.85,19.28,58.58,18.87,59.91,18.68,60.39,16.24,63.49,14.81,64.16,11.92,64.04,10.60,63.71,7.83,61.88,6.99,61.68;.mob Siege Golem"
Anathemus,Badlands,45,Rare Elite,Giant,Slow Patrol,Patrolling around the zone,".line Badlands,36.37,71.63,39.75,72.36,43.61,72.61,51.70,73.52,61.89,67.68,54.73,58.52,48.53,53.02,45.44,51.70,41.01,54.95,35.35,56.99,28.17,56.44,19.50,57.77,16.05,64.35,12.51,72.73,12.85,77.42,14.51,79.15,21.83,78.10,25.39,73.02,32.13,74.04,36.37,71.63;.mob Anathemus"
Zaricotl,Badlands,55,Rare Elite,Beast,Idle,Extremely high level for area,".pin Badlands,56.8,65.6;.pin Badlands,53.4,60.2;.pin Badlands,59.2,56.8;.pin Badlands,60.2,65.0;.pin Badlands,56.2,62.6;.pin Badlands,34.8,73.6;.pin Badlands,39.6,65.2;.pin Badlands,32.4,65.2;.pin Badlands,39.8,58.6;.pin Badlands,42.2,52.0;.pin Badlands,32.0,52.8;.pin Badlands,36.4,46.2;.mob Zaricotl"
Boss Tho'grun,Badlands,41-42,Normal,Humanoid,Slow Patrol,Quest mob patrolling around the zone with 4-6 mob entourage,".line Badlands,36.37,71.63,39.75,72.36,43.61,72.61,51.70,73.52,61.89,67.68,54.73,58.52,48.53,53.02,45.44,51.70,41.01,54.95,35.35,56.99,28.17,56.44,19.50,57.77,16.05,64.35,12.51,72.73,12.85,77.42,14.51,79.15,21.83,78.10,25.39,73.02,32.13,74.04,36.37,71.63;.mob Boss Tho'grun"
Teremus the Devourer,Blasted Lands,60,Elite,Dragonkin,Slow Patrol,"Raid boss, immune to cc/snare/fire, pulses damage, breath attack",".line Blasted Lands,45.37,23.42,46.53,21.52,48.73,22.21,51.81,25.45,53.10,27.52,54.07,27.65,56.10,31.05,57.64,34.56,60.06,36.28,61.54,38.09,63.00,36.07,63.54,35.33,63.94,33.29,63.50,31.20,62.90,30.44,61.31,28.62,60.81,27.30,60.31,26.53,58.54,27.84,57.51,28.33,56.94,29.23,56.55,31.32,55.87,34.38,53.27,36.70,50.95,37.33,47.13,38.89,45.42,43.43,46.54,47.86,48.97,51.64,50.16,50.91,51.26,50.03,53.13,49.22,55.34,46.61,56.65,44.70,56.34,42.17,54.60,39.66,51.48,37.97,48.89,35.65,56.80,35.26,44.72,33.72,44.39,30.60,44.47,26.38,45.37,23.42;.mob Teremus the Devourer"
Helboar,Blasted Lands,52-53,Normal,Beast,Idle,"Fire Nova and Charge, high burst",".pin Blasted Lands,44.6,32.4;.pin Blasted Lands,46.0,40.8;.pin Blasted Lands,48.0,34.4;.pin Blasted Lands,53.6,36.2;.pin Blasted Lands,54.8,44.8;.pin Blasted Lands,51.4,39.6;.pin Blasted Lands,46.6,48.2;.pin Blasted Lands,45.6,62.2;.pin Blasted Lands,51.6,55.0;.mob Helboar"
Black Slayer,Blasted Lands,46-48,Normal,Beast,Idle,Executes,".pin Blasted Lands,46.8,19.6;.pin Blasted Lands,50.6,17.4;.pin Blasted Lands,62.6,26.6;.pin Blasted Lands,56.6,37.8;.pin Blasted Lands,55.6,44.4;.mob Black Slayer"
Frenzied Black Drake,Burning Steppes,54,Elite,Dragonkin,Idle,"Enrages, reduces block chance",".pin Burning Steppes,94.6,31.6;.mob Frenzied Black Drake"
Malfunctioning Reaver,Burning Steppes,56,Normal,Elemental,Idle,Stuns and knocks back near elites,".pin Burning Steppes,76.8,29.8;.pin Burning Steppes,81.8,29.2;.pin Burning Steppes,88.8,32.6;.pin Burning Steppes,90.6,46.8;.pin Burning Steppes,87.0,55.0;.pin Burning Steppes,84.0,62.2;.mob Malfunctioning Reaver"
Volchan,Burning Steppes,60,Rare Elite,Giant,Slow Patrol,1200+ damage knockback/AoE,".line Burning Steppes,85.42,58.97,89.39,57.86,90.03,52.03,90.27,46.65,90.01,42.20,92.22,37.67,91.72,32.36,90.01,30.11,87.49,30.80,85.03,29.84,83.01,29.65,81.46,28.40,77.96,30.79,76.18,33.98,74.75,36.40,73.71,38.22,74.77,42.17,74.08,46.15,74.86,50.40,76.88,52.34,79.22,55.17,80.92,59.80,83.24,61.59,85.42,58.97;.mob Volchan"
Hematos,Burning Steppes,60,Rare Elite,Dragon,Fast Patrol,"Roaming elite, breath attack",".line Burning Steppes,16.40,54.96,17.51,53.22,17.88,51.09,17.74,48.30,18.44,46.04,19.93,46.60,21.42,48.65,23.18,49.50,25.11,49.82,26.94,51.35,27.47,52.42,30.70,54.19,32.98,55.00,32.06,58.18,29.46,60.50,27.59,61.17,25.90,60.80,24.31,59.25,22.03,59.88,20.95,59.30,18.99,59.30,17.93,58.71,17.12,56.61,17.06,54.63;.mob Hematos"
Black Drake,Burning Steppes,50-52,Elite,Dragonkin,Slow Patrol,"Roaming elite, breath attack",".line Burning Steppes,91.88,37.08,91.81,38.89,91.34,40.01,91.42,40.79,90.94,41.16,90.37,42.39,89.81,43.13,90.17,45.01,90.16,48.57,91.61,51.14,91.57,53.33,92.09,53.71,92.58,54.40,93.68,55.94;.mob Black Drake"
Black Drake,Burning Steppes,50-52,Elite,Dragonkin,Slow Patrol,"Roaming elite, breath attack",".line Burning Steppes,89.76,52.54,89.88,55.43,89.51,56.94,87.83,57.28,85.71,59.33,83.51,60.25,82.51,61.78;.mob Black Drake"
Black Drake,Burning Steppes,50-52,Elite,Dragonkin,Slow Patrol,"Roaming elite, breath attack",".line Burning Steppes,82.91,27.05,83.76,28.35,84.97,28.44,85.78,28.98,86.74,30.31,88.20,30.93,89.08,31.00,90.25,31.88,91.27,33.04,91.29,35.11,90.48,35.62,90.25,36.93,89.36,37.33,89.14,37.52,88.67,39.88;.mob Black Drake"
Black Wyrmkin,Burning Steppes,53-54,Elite,Dragonkin,Idle,Painful fireball/blast wave,".pin Burning Steppes,57.4,60.2;.pin Burning Steppes,76.8,62.2;.pin Burning Steppes,92.2,54.6;.pin Burning Steppes,88.8,37.6;.pin Burning Steppes,84.8,28.6;.mob Black Wyrmkin"
Scalding Drake,Burning Steppes,53-55,Elite,Dragonkin,Idle,Breath attack,".pin Burning Steppes,35.6,53.4;.pin Burning Steppes,40.0,62.4;.pin Burning Steppes,56.4,65.0;.pin Burning Steppes,62.4,58.6;.pin Burning Steppes,69.8,58.4;.pin Burning Steppes,85.8,95.0;.mob Scalding Drake"
Blackrock Slayer,Burning Steppes,56-57,Normal,Humanoid,Idle,Executes,".pin Burning Steppes,40.2,33.8;.pin Burning Steppes,44.0,35.4;.pin Burning Steppes,39.6,55.6;.pin Burning Steppes,45.0,56.6;.pin Burning Steppes,44.4,50.4;.pin Burning Steppes,49.6,54.0;.pin Burning Steppes,56.0,52.8;.mob Blackrock Slayer"
Gor'tesh,Burning Steppes,54,Normal,Humanoid,Idle,Absolute ton of burst damage + constant knockback,".pin Burning Steppes,39.4,56.6;.mob Gor'tesh"
Khan Hratha,Desolace,42,Elite,Humanoid,Idle,"Executes, has many adds, buffs them, dangerous terrain",".pin Desolace,29.8,50.4;.mob Khan Hratha"
Kolkar Destroyer,Desolace,32-33,Normal,Beast,Idle,Executes,".pin Desolace,72.0,40.2;.pin Desolace,70.8,43.6;.pin Desolace,74.4,46.8;.pin Desolace,70.8,49.0;.pin Desolace,74.0,50.6;.pin Desolace,71.6,50.6;.mob Kolkar Destroyer"
Deepstrider Giant,Desolace,38-39,Elite,Giant,Slow Patrol,"Basic elite, but huge patrol/aggro radius",".line Desolace,20.63,88.19,21.44,84.50,21.99,83.60,23.25,83.11,24.82,81.41,25.37,82.24,25.64,82.89,26.21,82.62,27.05,82.83,27.95,82.73,29.15,82.07,29.83,81.93,30.25,81.30,31.67,80.18,32.30,79.85,33.08,80.02,33.55,79.68,33.73,78.98,33.92,77.68,34.43,76.92,34.64,75.67,35.26,75.39,36.42,75.53,37.62,75.59,39.06,78.94,39.68,79.18,40.22,79.16,40.74,80.26,41.26,80.97,42.45,81.10,43.46,81.14,44.09,80.94,44.64,80.15,44.78,78.92,44.72,77.79,44.69,77.08,44.69,76.65,44.26,75.89,44.02,74.65,43.90,73.38,43.23,72.16,42.80,71.30,42.60,70.16,42.02,69.08,41.91,68.11,42.00,67.77,41.86,65.67,42.02,64.33,42.73,63.53,43.45,63.25,44.11,62.36,44.18,60.67,44.25,59.69,44.06,57.83,43.57,56.78,43.46,55.42,43.46,52.20,43.54,50.72,43.94,49.79,44.29,48.30,44.35,47.11,44.56,45.95,44.68,44.88,44.69,43.46,44.68,42.47,44.96,41.34,45.61,40.99,45.72,40.06,46.51,39.79,47.10,40.00,48.03,39.95,48.60,40.20,48.61,41.23,49.12,42.36,49.30,43.55,49.37,44.65,49.54,45.53,50.12,46.73,50.70,46.91,52.38,46.77,53.71,46.78,54.27,47.36,54.77,47.76,55.29,48.02,55.95,47.94,56.08,47.90,56.76,47.18,57.54,46.95,58.39,47.06,59.21,47.45,60.02,48.01,60.53,48.81,61.24,48.97,61.24,50.30,61.87,51.25,61.86,52.58,61.86,54.86,61.92,55.79,61.84,57.18,61.90,58.40,61.90,58.95,62.69,59.75,63.31,60.78,63.37,61.61,63.43,62.05,63.39,63.60,63.41,65.39,63.45,66.17,63.43,67.01,62.54,67.57,62.03,67.69,61.46,67.97,61.02,68.63,60.59,68.90,59.96,69.83,59.42,70.45,59.24,71.37,59.51,72.27,59.65,72.71,59.71,73.91,59.69,74.62,59.79,75.99,59.69,78.04,59.58,78.94,59.00,79.13,58.66,79.82,58.19,80.03,57.90,80.56,58.29,81.60,58.52,82.09,58.48,82.73,58.40,83.86;.mob Deepstrider Giant"
Deepstrider Giant,Desolace,38-39,Elite,Giant,Slow Patrol,"Basic elite, but huge patrol/aggro radius",".line Desolace,65.62,59.84,65.65,58.72,65.85,56.75,65.85,55.47,65.68,54.50,66.18,53.38,65.74,52.40,66.17,51.06,66.20,50.00,66.47,48.91,67.28,46.95,67.87,46.00,67.76,44.61,66.84,43.50,66.42,43.28,65.67,42.13,65.02,40.10,64.81,38.78,64.24,37.50,64.19,36.53,64.69,35.65,64.97,34.61,65.51,33.72,66.19,33.21,66.44,31.37,66.60,29.79,66.47,28.91,66.97,26.36,67.01,25.24,66.32,24.24,65.22,22.92,64.75,22.56,64.09,22.35,63.21,22.38,62.90,22.23,62.50,22.39,61.68,21.95,60.98,21.01,60.30,20.07,59.64,20.26,58.91,19.99,58.50,19.76,57.35,19.58,56.03,19.55,55.72,19.70,55.05,19.78,54.78,20.16,54.31,20.13,54.07,19.70,53.74,20.59,53.57,21.18,53.11,21.57,52.72,21.76,51.77,22.64,51.46,25.63,51.04,26.33,50.93,27.58,50.08,27.94,49.46,29.00,48.62,31.47,48.54,32.46,47.99,33.38,47.75,34.62,47.14,35.57,46.87,36.75,46.39,37.72,45.61,38.81,44.82,38.99,44.14,38.84,42.54,38.73,41.05,36.64,40.90,35.95,40.24,35.45,39.22,33.87,38.42,32.73,37.83,32.48,37.15,32.47,36.81,32.34,36.05,31.43,35.51,30.75,34.96,31.04,34.68,32.00,34.91,32.42,34.80,34.57,34.41,35.27,33.77,35.45,32.90,35.37,32.08,33.06,31.35,32.44,30.19,30.96,29.06,30.89,28.53,31.60,28.51,32.67,28.91,33.54,28.63,34.39,28.88,35.42,29.01,36.01,28.36,36.78,27.06,36.32,26.30,36.72,26.16,37.61,25.39,38.28,24.65,39.78,24.28,40.21,24.02,47.58,23.29,49.76,23.18,50.58,22.36,51.70,21.92,52.63,22.05,54.06,22.96,56.11,24.38,56.30,25.42,56.33;.mob Deepstrider Giant"
Warlord Kolkanis,Durotar,9,Rare,Humanoid,Idle,"Pummel, Thunderclap, 3 spawn locations",".pin Durotar,50.2,80.0;.pin Durotar,48.0,77.6;.pin Durotar,46.6,79.8;.mob Warlord Kolkanis"
Zalazane,Durotar,10,Normal,Humanoid,Slow Patrol,"Healing Wave, often double pull",".line Durotar,66.6,87.6,67.6,87.8,67.6,86.8;.mob Zalazane"
Captain Flat Tusk,Durotar,11,Rare Elite,Humanoid,Idle,Heroic Strike; can burst for 100+ damage,".pin Durotar,44.76,50.66;.pin Durotar,39.20,53.64;.pin Durotar,40.04,48.91;.pin Durotar,43.53,39.93;.pin Durotar,43.51,37.10;.mob Captain Flat Tusk"
Felweaver Scornn,Durotar,11,Rare Elite,Humanoid,Idle,"High damage shadowbolt + voidwalker, in a cave",".pin Durotar,52.78,8.96;.mob Felweaver Scornn"
Fizzle Darkstorm,Durotar,12,Normal,Humanoid,Idle,High damage Shadowbolt + Drain Life + Imp,".pin Durotar,42.12,26.66;.mob Fizzle Darkstorm"
Makasgar,Durotar,12,Normal,Humanoid,Idle,"Not dangerous, just in a weird place",".pin Durotar,62.6,65.8;.mob Makasgar"
Gazz'uz,Durotar,14,Normal,Humanoid,Idle,"High damage shadowbolt + voidwalker, in a cave",".pin Durotar,52.6,8.8;.mob Gazz'uz"
Voodoo Trolls,Durotar,8-9,Normal,Humanoid,Idle,"Healing Wave, Lightning Shield",".pin Durotar,66.2,82.4;.pin Durotar,67.6,87.6;.pin Durotar,65.6,86.0;.pin Durotar,67.6,83.6;.mob Voodoo Trolls"
Dustwind Storm Witch,Durotar,10-11,Normal,Humanoid,Idle,"Casters, easily double pulled",".pin Durotar,51.32,23.44;.pin Durotar,53.01,24.40;.pin Durotar,54.03,22.33;.pin Durotar,51.58,20.91;.pin Durotar,51.41,19.02;.mob Dustwind Storm Witch"
Brimgore,Dustwallow Marsh,45,Rare Elite,Dragonkin,Slow Patrol,Flame breath,".line Dustwallow Marsh,43.82,80.69,42.21,78.44,41.58,75.56;.mob Brimgore"
Coral Shark,Dustwallow Marsh,46-47,Elite,Beast,Idle,Extremely high level/thrashes/hard to see,".pin Dustwallow Marsh,75.6,32.0;.pin Dustwallow Marsh,81.0,52.8;.pin Dustwallow Marsh,74.8,72.8;.pin Dustwallow Marsh,78.2,69.0;.pin Dustwallow Marsh,67.4,61.2;.pin Dustwallow Marsh,67.2,57.2;.pin Dustwallow Marsh,69.0,55.2;.pin Dustwallow Marsh,70.6,52.4;.pin Dustwallow Marsh,70.6,49.4;.pin Dustwallow Marsh,72.6,53.6;.pin Dustwallow Marsh,71.4,57.8;.pin Dustwallow Marsh,62.6,32.0;.pin Dustwallow Marsh,62.6,28.2;.pin Dustwallow Marsh,62.8,23.8;.pin Dustwallow Marsh,65.8,22.4;.pin Dustwallow Marsh,65.6,20.2;.pin Dustwallow Marsh,66.8,27.8;.pin Dustwallow Marsh,65.8,30.8;.pin Dustwallow Marsh,64.8,32.6;.mob Coral Shark"
Zaeldarr the Outcast,Eastern Plaguelands,55,Normal,Undead,Idle,Stuns; pulls with other mobs,".pin Eastern Plaguelands,27.4,85.6;.mob Zeldarr the Outcast"
Mercutio Filthgorger,Eastern Plaguelands,57,Normal,Humanoid,Idle,"Spawns with adds, gouges,lingers if not killed",".pin Eastern Plaguelands,28.6,87.4;.mob Mercutio Filthgorger"
Infiltrator Hameya,Eastern Plaguelands,60,Normal,Undead,Slow Patrol,Patrols around a dozen graves in Zul'Mashar,".line Eastern Plaguelands,70.21,15.85,70.90,16.76,70.89,17.08,70.54,17.64,70.17,17.52,69.73,16.83,69.73,16.48,70.21,15.85;.mob Infiltrator Hameya"
Duskwing,Eastern Plaguelands,60,Elite,Beast,Slow Patrol,Has an AoE silence,".line Eastern Plaguelands,29.15,63.52,29.70,63.68,30.39,63.87,30.98,64.73,31.35,65.88,31.46,66.66,31.52,67.86,30.96,68.97,30.63,70.77,30.47,72.42,30.62,73.50,31.04,74.76,30.81,76.64,32.04,77.09,32.83,76.38,32.71,74.62,32.76,73.48,33.61,72.86,34.12,72.02,34.72,71.36,35.50,70.75,36.31,70.06,36.67,70.44,37.16,71.03,37.29,71.78,37.47,72.01,39.90,71.95,40.35,71.93,40.74,70.83,40.97,69.30,41.81,68.80,42.92,68.44,43.36,68.07,44.40,67.25,45.35,66.76;.mob Duskwing"
Nerubian Overseer,Eastern Plaguelands,60,Elite,Undead,Slow Patrol,Will remain at range if possible; has a web,".line Eastern Plaguelands,19.54,30.97,19.24,31.17,19.01,31.58,18.67,32.87,18.32,33.53,17.84,33.75,17.27,33.59,16.74,33.13,16.12,32.76,15.61,32.53,15.56,31.62,15.66,31.00,15.99,30.26,15.89,29.44,15.53,29.05,15.23,29.51,14.98,30.10,14.68,30.70,14.86,31.50,14.65,31.74,13.82,31.77,13.48,33.16,12.90,33.48,12.48,33.56,12.11,34.26,11.20,34.53,10.49,35.57,10.58,36.51,10.12,37.47,9.41,37.89,8.85,37.74,8.03,38.28,7.96,39.00,8.14,39.51;.mob Nerubian Overseer"
